show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,movie_title,release_date,genre,mpaa_rating,total_gross,inflation_adjusted_gross
s24,Movie,Home Sweet Home Alone,Dan Mazer,"Ellie Kemper, Rob Delaney, Archie Yates, Aisling Bea, Kenan Thompson, Tim Simons",United States,"November 12, 2021",2021.0,PG,95 min,"Comedy, Family","Alone for the holidays, Max Mercer will do whatever it takes to protect his home from trespassers.",,,,,,
s25,Movie,Jungle Cruise,Jaume Collet-Serra,"Dwayne Johnson, Emily Blunt, Edgar Ramirez, Jack Whitehall, Jesse Plemons, Paul Giamatti",United States,"November 12, 2021",2021.0,PG-13,129 min,"Action-Adventure, Comedy, Family",Dr. Lily Houghton & skipper Frank Wolff team up for a wild ride on the Amazon.,,,,,,
s26,Movie,Limitless with Chris Hemsworth,,Chris Hemsworth,,"November 12, 2021",2021.0,TV-14,2 min,Lifestyle,"""Limitless with Chris Hemsworth"" is coming to Disney+ in 2022.",,,,,,
s27,Movie,Marvel Studios’ 2021 Disney+ Day Special,,,,"November 12, 2021",2021.0,TV-PG,14 min,Movies,"Marvel Studios’ Disney+ Day Special explores the Disney+ series of the MCU – past, present and future.",,,,,,
s28,Movie,Obi-Wan Kenobi,,,,"November 12, 2021",2021.0,TV-PG,1 min,"Action-Adventure, Science Fiction","A behind the scenes look of the ""Obi-Wan Kenobi"" special event series. Coming to Disney+ in 2022.",,,,,,
s29,TV Show,Olaf Presents,,Josh Gad,,"November 12, 2021",2021.0,TV-PG,1 Season,"Animation, Family",Olaf goes from snowman to showman for his unique retelling of five favorite Disney Animation tales.,,,,,,
s30,Movie,Paperman,John Kahrs,"John Kahrs, Kari Wahlgren",United States,"November 12, 2021",2012.0,G,7 min,"Animation, Comedy, Family",A young man strives to find girl of his dreams.,,,,,,
s31,Movie,Pixar 2021 Disney+ Day Special,,"Pete Docter, Larry the Cable Guy, Jack Dylan Grazer, Domee Shi, Angus MacLane",,"November 12, 2021",2021.0,G,5 min,Movies,Join Pete Docter for a tour around Pixar and get a sneak peek at several upcoming Disney+ releases.,,,,,,
s32,Movie,Shang-Chi and The Legend of The Ten Rings,Destin Daniel Cretton,"Simu Liu, Awkwafina, Tony Leung, Michelle Yeoh, Meng'er Zhang, Ben Kingsley","United States, Australia","November 12, 2021",2021.0,PG-13,134 min,"Action-Adventure, Fantasy, Superhero","Shang-Chi must confront his father, leader of the Ten Rings organization.",,,,,,
s33,Movie,Spin,Manjari Makijany,"Avantika, Michael Bishop, Anna Cathcart, Jahbril Cook, Kerri Medders, Aryan Simhadri",,"November 12, 2021",2021.0,TV-G,94 min,"Coming of Age, Music",Rhea discovers her passion for creating DJ mixes!,,,,,,
s34,Movie,Tangled Ever After,"Nathan Greno, Byron Howard","Mandy Moore, Zachary Levi, Alan Dale, Paul F. Tompkins, Kari Wahlgren, Mark Allen Stewart",United States,"November 12, 2021",2012.0,G,9 min,"Animation, Family",It's up to Max and Pascal to save the royal wedding.,,,,,,
s35,Movie,The Ballad of Nessie,"Stevie Wermers-Skelton, Kevin Deters",Billy Connolly,,"November 12, 2021",2011.0,G,8 min,"Animation, Family, Fantasy",A colorful tale about the friendly Loch Ness monster.,,,,,,
s36,Movie,The Little Matchgirl,Roger Allers,,United States,"November 12, 2021",2006.0,G,7 min,"Animation, Drama",A poor matchgirl sees happy images in the flames of her matches.,,,,,,
s37,Movie,The Making of Happier Than Ever: A Love Letter to Los Angeles,David Clair,"Billie Eilish, FINNEAS, Gustavo Dudamel, Patrick Osborne, Robert Rodriguez",,"November 12, 2021",2021.0,TV-PG,30 min,"Concert Film, Music","Go behind the scenes of ""Happier Than Ever: A Love Letter to Los Angeles.""",,,,,,
s38,Movie,The Proud Family: Louder and Prouder,,"Kyla Pratt, Tommy Davidson, Paula Jai Parker, JoMarie Payton, Cedric the Entertainer",,"November 12, 2021",2021.0,TV-G,1 min,"Animation, Comedy, Coming of Age","""The Proud Family: Louder and Prouder"" follows Penny Proud and her family. Coming in February 2022.",,,,,,
s39,Movie,The Simpsons in Plusaversary,David Silverman,"Dan Castellaneta, Nancy Cartwright, Yeardley Smith, Tress MacNeille, Hank Azaria",,"November 12, 2021",2021.0,TV-PG,6 min,"Animation, Comedy",Celebrate Disney+ Day with The Simpsons and their friends from across the service.,,,,,,
s40,Movie,Tick Tock Tale,Dean Wellins,,United States,"November 12, 2021",2010.0,G,6 min,"Animation, Crime, Family",A tale of a quirky mantle clock.,,,,,,
s41,Movie,Under the Helmet: The Legacy of Boba Fett,,,,"November 12, 2021",2021.0,TV-PG,22 min,Science Fiction,"A special celebrating the origins and legacy of Star Wars’ legendary bounty hunter, Boba Fett.",,,,,,
s42,Movie,Willow,,,,"November 12, 2021",2021.0,TV-PG,3 min,"Action-Adventure, Fantasy","Meet the cast of the all-new Disney+ fantasy-adventure series ""Willow."" Coming to Disney+ in 2022.",,,,,,
s43,Movie,Alvin and the Chipmunks: Chipwrecked,Mike Mitchell,"Jason Lee, David Cross, Jenny Slate, Justin Long, Matthew Gray Gubler, Jesse McCartney",United States,"November 5, 2021",2011.0,G,87 min,"Comedy, Family, Music",The Chipmunks and Chipettes get stranded on a remote island – or so it would seem.,,,,,,
s44,Movie,Jingle All The Way,Brian Levant,"Arnold Schwarzenegger, Sinbad, Phil Hartman, Rita Wilson, Robert Conrad, Martin Mull",United States,"November 5, 2021",1996.0,PG,90 min,"Comedy, Family",A father's Christmas Eve turns into a madcap scramble to find a much sought-after toy for his son.,,,,,,
s45,Movie,Jingle All the Way 2,Alex Zamm,"Larry the Cable Guy, Brian Stepanek, Santino Marella, Kennedi Clements, Kirsten Robek, Rachel Hayward",United States,"November 5, 2021",2014.0,PG,91 min,"Comedy, Family",Two dads compete to be the best father and make Christmas amazing!,,,,,,
s46,Movie,Prep & Landing: Operation Secret Santa,"Kevin Deters, Stevie Wermers-Skelton","Betty White, Dave Foley, Derek Richardson, Sarah Chalke, W. Morgan Sheppard",,"November 5, 2021",2010.0,TV-G,8 min,"Animation, Family, Fantasy",Mrs. Claus enlists two elves in a secret mission.,,,,,,
s47,Movie,Santa Buddies: The Legend of Santa Paws,Robert Vince,"Christopher Lloyd, Danny Woodburn, Craig Anton, Michael Teigen, Ben Giroux, Paul Rae","United States, Canada","November 5, 2021",2009.0,G,93 min,"Comedy, Fantasy, Kids","The Buddies remind Santa Paws' feisty son, Puppy Paws, about the true meaning of Christmas.",,,,,,
s48,Movie,Snow Buddies,Robert Vince,"Dominic Scott Kay, John Kapelos, Lise Simms, Mike Dopud, Charles C. Stevenson Jr., Dylan Minnette",United States,"November 5, 2021",2008.0,G,91 min,"Action-Adventure, Comedy, Kids",Disney’s favorite talking pups put one paw in front of the other in a thrilling Alaskan adventure.,,,,,,
s49,Movie,Space Buddies,Robert Vince,"F.T. Anderson, Diedrich Bader, Field Cate, Kendall Cross, Mike Dopud, Mark Downey","United States, Canada","November 5, 2021",2009.0,G,87 min,"Action-Adventure, Comedy, Kids","Disney's most adventurous talking pups take one small step for dog, one giant leap for dogkind.",,,,,,
s50,Movie,The Search for Santa Paws,Robert Vince,"Resse Alexander, Diedrich Bader, Sahar Biniaz, Jan Boss, Ameko Eks Mass Carroll, Melody Choi",Canada,"November 5, 2021",2010.0,G,101 min,"Drama, Family, Fantasy",Discover how the legendary friendship of Santa Claus and Santa Paws began.,,,,,,
s51,Movie,X-Men: First Class,Matthew Vaughn,"James McAvoy, Michael Fassbender, Rose Byrne, Jennifer Lawrence, January Jones, Nicholas Hoult","United States, United Kingdom","November 5, 2021",2011.0,PG-13,132 min,"Action-Adventure, Science Fiction, Superhero","Following the classic mythology, X-Men: First Class charts the epic beginning of the X-Men saga.",,,,,,
s52,TV Show,Disney Amphibia,,"Justin Felbinger, Amanda Leighton, Bill Farmer, Brenda Song","United States, South Korea","November 3, 2021",2018.0,TV-Y7,3 Seasons,"Animation, Comedy, Family",Anne Boonchuy is transported to the world of Amphibia.,,,,,,
s53,TV Show,Photo Ark,,Joel Sartore,United States,"November 3, 2021",2017.0,TV-PG,1 Season,"Animals & Nature, Docuseries, Family",National Geographic photographer Joel Sartore photographs some of the rarest animals in the world.,,,,,,
s54,TV Show,Storm Rising,,,,"November 3, 2021",2021.0,TV-14,1 Season,"Action-Adventure, Animals & Nature, Docuseries",Storm chasers Reed Timmer and Mike Theiss track and study a new category of deadly storms.,,,,,,
s55,Movie,Bob Ballard: An Explorer's Life,,,,"October 29, 2021",2021.0,TV-PG,44 min,"Biographical, Documentary","An intimate portrait of Bob Ballard, the legendary explorer who found the Titanic.",,,,,,
s56,Movie,"McFarland, USA",Niki Caro,"Kevin Costner, Maria Bello, Morgan Saylor, Martha Higareda, Michael Aguero, Sergio Avelar",United States,"October 29, 2021",2015.0,PG,131 min,"Drama, Sports",A coach guides underdogs past tremendous obstacles to become champions.,,,,,,
s57,Movie,Rookie of the Year,Daniel Stern,"Thomas Ian Nicholas, Gary Busey, Albert Hall, Amy Morton, Dan Hedaya, Eddie Bracken",United States,"October 22, 2021",1993.0,PG,104 min,"Comedy, Family, Sports","A 12-year-old boy can throw a 100 mph fastball, and the Chicago Cubs want him as their new pitcher!",,,,,,
s58,Movie,Thumbelina,"Don Bluth, Gary Goldman","Gino Conforti, Barbara Cook, Jodi Benson, Will Ryan, June Foray, Kenneth Mars","Ireland, United States, Canada, United Kingdom, Denmark, Spain, Poland, Hungary","October 22, 2021",1994.0,G,87 min,"Animation, Family, Fantasy",A digit-sized heroine evades the clutches of various creatures so she can reunite with her prince.,,,,,,
s59,TV Show,PJ Masks,,"Kyle Breitkopf, Jacob Ursomarzo, Addison Holley","France, United Kingdom","October 20, 2021",2015.0,TV-Y7,5 Seasons,"Action-Adventure, Animation, Kids",Look out Night Time Baddies the PJ Masks are coming!,,,,,,
s60,TV Show,The Wild Life of Dr. Ole,,,,"October 20, 2021",2021.0,TV-PG,1 Season,"Animals & Nature, Reality","Doc Ole practices his unique brand of animal care with wit, expertise and insight.",,,,,,
s61,Movie,Lost Cities with Albert Lin: The Great Flood,Jim Greayer,Dr. Albert Yu-Min Lin,,"October 15, 2021",2021.0,TV-PG,44 min,"Documentary, Historical",Albert Lin is on a global quest to find the origins of Great Flood stories.,,,,,,
s62,Movie,Megacity of the Maya Warriors,Ben Crichton,Albert Lin,,"October 15, 2021",2021.0,TV-PG,44 min,Documentary,Albert Lin sets out to solve an ancient mystery and find a Lost Maya city.,,,,,,
s63,TV Show,Apollo: Back To The Moon,,"Bill Anders, Jack Clemons, Fred Haise, Glynn Lunney, Jay Barbree, Brad Vinikow",,"October 13, 2021",2019.0,TV-PG,1 Season,"Docuseries, Historical","Follow the Apollo lunar landing program from the inside, as never shown before.",,,,,,
s64,TV Show,Just Beyond,,"Mckenna Grace, Lexi Underwood, Cedric Joe, Tim Heidecker, Riki Lindhome, Nasim Pedrad",,"October 13, 2021",2021.0,TV-PG,1 Season,"Anthology, Comedy, Coming of Age","Inspired by the writings of R.L. Stine, “Just Beyond” is a supernatural anthology series.",,,,,,
s65,TV Show,Secrets Of The Zoo: Down Under,,Naomi Watts,,"October 13, 2021",2020.0,TV-14,2 Seasons,"Animals & Nature, Docuseries, Family",This series is a behind-the-scenes look at one of the world’s most famous zoos.,,,,,,
s66,TV Show,Secrets of the Zoo: North Carolina,,,,"October 13, 2021",2020.0,TV-14,1 Season,Reality,"The North Carolina Zoo has more than 1,000 animals that live in lush natural habitats.",,,,,,
s67,TV Show,The Wizard of Paws,,,,"October 13, 2021",2021.0,TV-PG,1 Season,"Animals & Nature, Docuseries, Medical",Follow pet prosthetics pioneer Derrick Campana as he gives troubled animals a second chance.,,,,,,
s68,TV Show,Zombies: Addison's Moonstone Mystery,,,,"October 13, 2021",2020.0,TV-G,1 Season,"Animation, Coming of Age, Fantasy",Things are smooth sailing at Seabrook High until ...,,,,,,
s69,Movie,Just Roll With It: You Decide Live!,,"Tobie Windham, Suzi Barrett, Ramon Reed, Kaylin Hayman, JC Currais, Raven-Symoné",,"October 8, 2021",2019.0,G,52 min,Comedy,The Bennett-Blatts set out to reverse an evil curse!,,,,,,
s70,Movie,Mickey's Tale of Two Witches,Jeff Gordon,"Bret Iwan, Kaitlyn Robrock, Bill Farmer, Daniel Ross, Tress MacNeille, Jim Cummings",,"October 8, 2021",2021.0,TV-Y,47 min,"Animation, Family, Fantasy",Mickey tells a tale of two witches-in-training!,,,,,,
s71,Movie,Muppets Haunted Mansion,Kirk Thatcher,"Dave Goelz, Bill Barretta, Will Arnett, Taraji P. Henson, Yvette Nicole Brown, Darren Criss",,"October 8, 2021",2021.0,TV-PG,53 min,"Comedy, Family, Musical",Gonzo is challenged to spend Halloween night in the scariest place on Earth – the Haunted Mansion.,,,,,,
s72,Movie,The Most Magical Story on Earth: 50 Years of Walt Disney World,Dave Hoffman,"Whoopi Goldberg, Christina Aguilera, Halle Bailey, Orlando Philharmonic Orchestra, Anthony Anderson, Tom Brady",,"October 8, 2021",2021.0,TV-PG,85 min,"Family, Variety",Celebrating 50 years of the Walt Disney World Resort.,,,,,,
s73,Movie,Under Wraps,Alex Zamm,"Malachi Barton, Christian J. Simon, Sophia Hammons, Melanie Brook, Brent Stait, Jordana Largy",,"October 8, 2021",2021.0,TV-G,92 min,"Action-Adventure, Comedy, Kids",Three friends revive a mummy in a neighbor's basement.,,,,,,
s74,TV Show,Among the Stars,,Chris Cassidy,,"October 6, 2021",2021.0,TV-PG,1 Season,Docuseries,NASA Astronaut Captain Chris Cassidy and the NASA team take on the challenges of space exploration.,,,,,,
s75,Movie,Black Widow,Cate Shortland,"Scarlett Johansson, Florence Pugh, David Harbour, O-T Fagbenle, Rachel Weisz, Ray Winstone",United States,"October 6, 2021",2021.0,PG-13,135 min,"Action-Adventure, Science Fiction, Spy/Espionage",Natasha confronts her history as a spy and the broken relationships left in her wake.,,,,,,
s76,TV Show,Drain the Oceans,,Russell Boulter,"United Kingdom, Australia","October 6, 2021",2017.0,TV-PG,4 Seasons,"Docuseries, Historical",Pull the plug on the ocean to reveal hidden secrets using groundbreaking technology.,,,,,,
s77,TV Show,Drain The Oceans: The Mississippi River & Arctic War,,Kerry Shale,,"October 6, 2021",2021.0,TV-14,1 Season,"Docuseries, Historical",Drain the Oceans takes underwater archaeology into a whole new era.,,,,,,
s78,Movie,Fauci,"John Hoffman, Janet Tobias","Dr. Anthony Fauci, Bono, George W. Bush, Peter Staley",United States,"October 6, 2021",2021.0,PG-13,105 min,"Biographical, Documentary","""Fauci"" reveals the extraordinary life and career of Dr. Anthony Fauci.",,,,,,
s79,TV Show,IMPACT with Gal Gadot,,Gal Gadot,United States,"October 6, 2021",2021.0,TV-14,1 Season,Docuseries,National Geographic Presents IMPACT with Gal Gadot honors impactful women.,,,,,,
s80,TV Show,The Ghost and Molly McGee,,"Ashly Burch, Dana Snyder",United States,"October 6, 2021",2021.0,TV-Y7,1 Season,"Animation, Buddy, Coming of Age",A grumpy ghost and cheerful tween are eternally bound.,,,,,,
s81,Movie,Alvin and the Chipmunks,Tim Hill,"Jason Lee, David Cross, Cameron Richardson, Jane Lynch, Justin Long, Matthew Gray Gubler",United States,"October 1, 2021",2007.0,PG,91 min,"Animation, Comedy, Family","Pop-singer Chipmunks Alvin, Simon and Theodore turn a songwriter's life upside-down.",,,,,,
s82,Movie,Alvin and the Chipmunks: The Road Chip,Walt Becker,"Jason Lee, Tony Hale, Kimberly Williams-Paisley, Josh Green, Bella Thorne, Uzo Aduba",United States,"October 1, 2021",2015.0,PG,92 min,"Comedy, Family, Music","Your favorite fur balls, the Chipmunks, hit the road for an all-new, music-filled adventure.",,,,,,
s83,Movie,LEGO Star Wars Terrifying Tales,Ken Cunningham,"Jake Green, Raphael Alejandro, Dana Snyder, Tony Hale, Christian Slater, Trevor Devall",,"October 1, 2021",2021.0,TV-Y7-FV,47 min,"Action-Adventure, Animation, Science Fiction",Poe and BB-8 are told terrifying tales as they search for help in Darth Vader’s creepy old castle.,,,,,,
s84,Movie,Maleficent,Robert Stromberg,"Angelina Jolie, Sharlto Copley, Elle Fanning, Sam Riley, Imelda Staunton, Juno Temple","United States, United Kingdom","October 1, 2021",2014.0,PG,99 min,"Action-Adventure, Family, Fantasy","Driven by revenge, Maleficent places a curse upon the king’s newborn infant, Aurora.",,,,,,
s85,Movie,The Scariest Story Ever: A Mickey Mouse Halloween Spooktacular,"Alonso Ramirez Ramos, Eddie Trigueros, Dave Wasson","Chris Diamantopoulos, Tony Anselmo, Tress MacNeille, Bill Farmer, Russi Taylor",,"October 1, 2021",2017.0,TV-G,22 min,"Animation, Family, Parody",Mickey tells a scary story on Halloween.,,,,,,
s86,TV Show,Disney Vampirina,,"Isabella Crovetti, Lauren Graham, James Van Der Beek, Jordan Davis, Wanda Sykes, Mitchell Whitfield","Ireland, United States","September 29, 2021",2017.0,TV-Y7,3 Seasons,"Animation, Fantasy, Kids",Vampirina is the new girl in town!,,,,,,
s87,TV Show,Disney's Magic Bake-Off,,"Issac Ryan Brown, Dara Reneé, Graciela Gomez",United States,"September 29, 2021",2021.0,TV-G,1 Season,"Family, Game Show / Competition",Kid bakers compete to be named Disney Baking Champion.,,,,,,
s88,TV Show,Great Barrier Reef,,Don Halbert,,"September 29, 2021",2020.0,TV-PG,1 Season,"Animals & Nature, Docuseries",Explore the complex Great Barrier Reef along with the wildlife that inhabit it.,,,,,,
s89,TV Show,Ready for Preschool,,,,"September 29, 2021",2019.0,TV-Y,2 Seasons,"Kids, Music",The love of learning begins with Disney Junior!,,,,,,
s90,TV Show,Rolie Polie Olie,,"Cole Caplan, Kristen Bone, Robert Smith, Catherine Disher, Adrian Truss, Len Carlson","Canada, United States, France","September 29, 2021",1998.0,TV-Y,5 Seasons,"Animation, Science Fiction",Rolie Polie Olie’s life and adventures center on his Robo-family.,,,,,,
s91,TV Show,Star Wars Galaxy of Sounds,,,,"September 29, 2021",2021.0,TV-PG,1 Season,"Animation, Anthology, Science Fiction","""Star Wars Galaxy of Sounds"" immerses audiences in the nostalgic ambience of a galaxy far, far away.",,,,,,
s92,TV Show,The Hatcher Family Dairy,,,,"September 29, 2021",2021.0,TV-14,1 Season,"Animals & Nature, Docuseries, Reality","The Hatcher Family enjoys a nonstop circus of animals, farming and family.",,,,,,
s93,TV Show,The Simpsons,,"Dan Castellaneta, Julie Kavner, Nancy Cartwright, Yeardley Smith, Hank Azaria, Pamela Hayden",United States,"September 29, 2021",1989.0,TV-PG,32 Seasons,"Animation, Comedy","The world’s favorite nuclear family, in the award-winning, history-making series.",,,,,,
s94,Movie,A Spark Story,"Jason Sterman, Leanne Dare","Apthon Corbin, Louis Gonzales",,"September 24, 2021",2021.0,TV-PG,88 min,Documentary,Two Pixar filmmakers strive to bring their uniquely personal SparkShorts visions to the screen.,,,,,,
s95,Movie,Spooky Buddies,Robert Vince,"Tucker Albrizzi, Diedrich Bader, Ameko Eks Mass Carroll, Max Charles, Tim Conway, Jennifer Elise Cox","United States, Canada","September 24, 2021",2011.0,G,93 min,"Comedy, Fantasy, Kids",The puppies go on a spooky adventure through a mysterious haunted mansion in this fur-raising flick.,,,,,,
s96,Movie,The Fault in Our Stars,Josh Boone,"Shailene Woodley, Ansel Elgort, Laura Dern, Sam Trammell, Nat Wolff, Willem Dafoe",United States,"September 24, 2021",2014.0,PG-13,127 min,"Coming of Age, Drama, Romance",Hazel and Gus share a love that sweeps them on an unforgettable journey.,,,,,,
s97,TV Show,Dog: Impossible,,Matt Beisner,United States,"September 22, 2021",2019.0,TV-PG,2 Seasons,"Animals & Nature, Docuseries, Family",Matt Beisner uses unique approaches to modifying canine behavior and focuses on each animal’s needs.,,,,,,
s98,TV Show,Spidey And His Amazing Friends,,"Benjamin Valic, Lily Sanfelippo, Jakari Fraser, Dee Bradley Baker, Melanie Minichino",United States,"September 22, 2021",2021.0,TV-Y,1 Season,"Action-Adventure, Animation, Kids",Spidey teams up with pals to become The Spidey Team!,,,,,,
s99,TV Show,Star Wars: Visions,,,,"September 22, 2021",2021.0,TV-PG,1 Season,"Action-Adventure, Animation, Anime",An animated anthology celebrating Star Wars through the lens of the world’s best anime creators.,,,,,,
s100,Movie,Confessions of a Shopaholic,P.J. Hogan,"Isla Fisher, Hugh Dancy, Joan Cusack, John Goodman, John Lithgow, Kristin Scott Thomas",United States,"September 17, 2021",2009.0,PG,106 min,"Comedy, Romance, Romantic Comedy",Becky writes a personal finance column en route to a high-fashion mag job.,,,,,,
s101,Movie,Descendants: Royal Wedding,Salvador Simó,"Dove Cameron, Sofia Carson, Booboo Stewart, Mitchell Hope, Sarah Jeffery, Melanie Paxson",,"September 17, 2021",2021.0,TV-G,22 min,"Animation, Fantasy, Musical",Mal and Ben’s wedding is finally here!,,,,,,
s102,Movie,Disney's Broadway Hits at London's Royal Albert Hall,Jay Hatcher,"John Barrowman, Ashley Brown, Merle Dandridge, Trevor Dion Nicholas, Jade Ewen, Alton Fitzgerald White",,"September 17, 2021",2016.0,TV-G,116 min,"Concert Film, Music",Experience the magic of Disney on Broadway in an unforgettable night of music.,,,,,,
s103,Movie,Flooded Tombs of the Nile,Katie Bauer Murdock,Devin E. Haqq,,"September 17, 2021",2021.0,TV-PG,44 min,Documentary,Archaeologists dive into a pyramid flooded by the Nile to search for a king’s burial.,,,,,,
s104,Movie,Jade Eyed Leopard,,Jeremy Irons,,"September 17, 2021",2020.0,TV-PG,44 min,"Animals & Nature, Documentary","Jade Eyed Leopard follows a leopard, Toto, throughout the first three years of her life.",,,,,,
